Category,Item No,Statement
Attention,attention_1,The scenario and context of the training were interesting.
Attention,attention_2,I wanted to successfully finish the training and complete all the tasks.
Relevance,relevance_1,"To me, the scenario and context seemed to be realistic."
Relevance,relevance_2,"I my opinion, the tasks I performed represent skills that are required in real incident repsonse work."
Confidence,confidence_1,"During the training, I felt I was in control over my actions."
Confidence,confidence_2,"During the training, I had a sense that I made good progress."
Satisfaction,satisfaction_1,"During the training, I experienced excitement."
Satisfaction,satisfaction_2,I was satisfied with my performance during the training.
Metacognition,metacognition_1,"In my opinion, I have reached the learning objectives of the cyber range training."
Metacognition,metacognition_2,"In my opinion, I have gained security skills and knowledge that might be helpful in the future."
Difficulty,difficulty_1,I was overwhelmed by the complexity of the tasks
Difficulty,difficulty_2,"During large parts of the the training, I felt stressed or frustrated."
